State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35401,6,130,66457
AL,35404,1,4020,53045
AL,35404,2,2150,76016
AL,35404,3,860,52415
AL,35404,4,370,32159
AL,35404,5,410,53766
AL,35404,6,100,57060
AL,35405,1,7630,102421
AL,35405,2,4830,175058
AL,35405,3,2270,138940
AL,35405,4,1380,119217
AL,35405,5,1700,223206
AL,35405,6,260,99724
AL,35406,1,1650,18470
AL,35406,2,1060,38751
AL,35406,3,750,46888
AL,35406,4,660,57229
AL,35406,5,1480,209208
AL,35406,6,1070,506135
AL,35441,1,190,2625
AL,35441,2,140,5007
AL,35441,3,60,3516
AL,35441,4,30,2503
AL,35441,5,40,5335
AL,35441,6,0,0
AL,35442,1,1040,14551
AL,35442,2,500,17245
AL,35442,3,150,8914
AL,35442,4,90,7343
AL,35442,5,80,9817
AL,35442,6,20,10298
AL,35443,1,390,5529
AL,35443,2,170,5899
AL,35443,3,70,4794
AL,35443,4,0,0
AL,35443,5,20,4735
AL,35443,6,0,0
AL,35444,1,570,7629
AL,35444,2,420,15222
AL,35444,3,240,14498
AL,35444,4,160,13368
AL,35444,5,120,19263
AL,35444,6,0,0
AL,35446,1,330,4324
AL,35446,2,230,8172
AL,35446,3,120,7439
AL,35446,4,80,7310
AL,35446,5,80,12791
AL,35446,6,0,0
AL,35447,1,610,8530
AL,35447,2,300,10584
AL,35447,3,140,8626
AL,35447,4,80,7153
AL,35447,5,90,14188
AL,35447,6,0,0
AL,35452,1,590,7828
AL,35452,2,370,13415
AL,35452,3,270,16915
AL,35452,4,150,13103
AL,35452,5,190,27654
AL,35452,6,0,0
AL,35453,1,1960,25343
AL,35453,2,1290,46605
AL,35453,3,720,44057
AL,35453,4,440,38081
AL,35453,5,400,51975
AL,35453,6,50,18504
AL,35456,1,770,10161
AL,35456,2,480,17219
AL,35456,3,260,15871
AL,35456,4,150,12754
AL,35456,5,130,17287
AL,35456,6,20,6950
AL,35458,1,80,1125
AL,35458,2,60,1986
AL,35458,3,40,2495
AL,35458,4,20,1871
AL,35458,5,20,2724
AL,35458,6,0,0
AL,35459,1,160,2087
AL,35459,2,90,3450
AL,35459,3,40,2171
AL,35459,4,30,3345
AL,35459,5,0,0
AL,35459,6,0,0
AL,35460,1,130,1563
AL,35460,2,80,2699
AL,35460,3,30,2885
AL,35460,4,0,0
AL,35460,5,0,0
AL,35460,6,0,0
AL,35461,1,280,3730
AL,35461,2,200,7112
AL,35461,3,100,6278
AL,35461,4,60,5258
AL,35461,5,60,8876
AL,35461,6,0,0
AL,35462,1,1040,14762
AL,35462,2,500,17715
AL,35462,3,140,8659
AL,35462,4,70,6242
AL,35462,5,100,15020
AL,35462,6,0,0
AL,35463,1,290,3999
AL,35463,2,210,7508
AL,35463,3,120,7134
AL,35463,4,70,5569
AL,35463,5,80,11081
AL,35463,6,0,0
AL,35464,1,140,1840
AL,35464,2,40,1476
AL,35464,3,20,1479
AL,35464,4,0,0
AL,35464,5,0,0
AL,35464,6,0,0
AL,35466,1,810,10744
AL,35466,2,590,21593
AL,35466,3,350,21651
AL,35466,4,230,19868
AL,35466,5,260,38045
AL,35466,6,0,0
AL,35469,1,60,836
AL,35469,2,40,1305
AL,35469,3,30,2361
AL,35469,4,0,0
AL,35469,5,0,0
AL,35469,6,0,0
AL,35470,1,910,11591
AL,35470,2,450,15913
AL,35470,3,180,10971
AL,35470,4,110,9069
AL,35470,5,120,16147
AL,35470,6,30,9828
AL,35473,1,2290,30414
AL,35473,2,1880,69054
AL,35473,3,1120,69270
AL,35473,4,760,65725
AL,35473,5,910,117335
AL,35473,6,150,47596
AL,35474,1,990,13415
AL,35474,2,780,28502
AL,35474,3,420,25947
AL,35474,4,290,24918
AL,35474,5,270,34927
AL,35474,6,20,7202
AL,35475,1,1840,21905
AL,35475,2,1370,50562
AL,35475,3,1090,68206
AL,35475,4,920,79834
AL,35475,5,1360,178537
AL,35475,6,270,159718
AL,35476,1,1740,24168
AL,35476,2,1080,38006
AL,35476,3,440,26824
AL,35476,4,180,15230
AL,35476,5,170,22005
AL,35476,6,50,29007
AL,35480,1,220,2834
AL,35480,2,190,6515
AL,35480,3,90,5627
AL,35480,4,90,7569
AL,35480,5,100,14307
AL,35480,6,0,0
AL,35481,1,600,8216
AL,35481,2,330,11725
AL,35481,3,170,10533
AL,35481,4,90,7786
AL,35481,5,90,13093
AL,35481,6,0,0
AL,35490,1,530,7071
AL,35490,2,490,17759
AL,35490,3,280,17286
AL,35490,4,210,18008
AL,35490,5,210,29338
AL,35490,6,0,0
AL,35501,1,1750,23842
AL,35501,2,940,33205
AL,35501,3,440,26937
AL,35501,4,260,22382
AL,35501,5,240,30277
AL,35501,6,40,14038
AL,35503,1,1320,17292
AL,35503,2,860,30882
AL,35503,3,460,27970
AL,35503,4,290,25539
AL,35503,5,320,40455
AL,35503,6,40,16091
AL,35504,1,1690,21652
AL,35504,2,1210,44179
AL,35504,3,740,45330
AL,35504,4,570,49092
AL,35504,5,690,91266
AL,35504,6,150,57806
AL,35540,1,360,4611
AL,35540,2,260,9072
AL,35540,3,150,9038
AL,35540,4,80,7011
AL,35540,5,70,10199
AL,35540,6,0,0
AL,35541,1,470,6091
AL,35541,2,310,10876
AL,35541,3,170,10147
AL,35541,4,140,11923
AL,35541,5,150,20171
AL,35541,6,40,17666
AL,35542,1,170,2370
AL,35542,2,130,4541
AL,35542,3,60,3694
AL,35542,4,50,4010
AL,35542,5,30,3309
AL,35542,6,0,0
AL,35543,1,190,2732
AL,35543,2,100,3436
AL,35543,3,70,4317
AL,35543,4,0,0
AL,35543,5,20,3264
AL,35543,6,0,0
AL,35544,1,100,1362
AL,35544,2,60,2078
AL,35544,3,40,2451
AL,35544,4,30,3185
AL,35544,5,0,0
AL,35544,6,0,0
AL,35546,1,530,6788
AL,35546,2,450,16631
AL,35546,3,240,14226
AL,35546,4,130,10812
AL,35546,5,120,16201
AL,35546,6,0,0
AL,35548,1,270,3560
AL,35548,2,170,6057
AL,35548,3,60,3476
AL,35548,4,50,5051
AL,35548,5,0,0
AL,35548,6,0,0
AL,35549,1,640,8558
AL,35549,2,380,13409
AL,35549,3,160,9668
AL,35549,4,90,7899
AL,35549,5,80,10306
AL,35549,6,0,0
AL,35550,1,760,10002
AL,35550,2,490,17905
AL,35550,3,260,15652
AL,35550,4,140,12273
AL,35550,5,150,18348
AL,35550,6,20,7944
AL,35552,1,140,1832
AL,35552,2,100,3369
AL,35552,3,60,3641
AL,35552,4,30,2129
AL,35552,5,20,2433
AL,35552,6,0,0
AL,35553,1,740,10196
AL,35553,2,450,16187
AL,35553,3,210,12742
AL,35553,4,130,10748
AL,35553,5,100,13114
AL,35553,6,30,12429
AL,35554,1,160,2056
AL,35554,2,110,4203
AL,35554,3,70,4047
AL,35554,4,30,2980
AL,35554,5,40,5200
AL,35554,6,0,0
AL,35555,1,1580,21079
AL,35555,2,970,34691
AL,35555,3,490,30059
AL,35555,4,290,25130
